"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.318866220E-1,-9.175778031E-1,-1.628057212E-1,9.755773544E0
5.338962050E-1,-9.175778031E-1,-1.819593310E-1,9.746196747E0
5.359051110E-1,-9.271546006E-1,-1.771709323E-1,9.736619949E0
5.379106320E-1,-9.175778031E-1,-2.059013397E-1,9.765350342E0
5.399134450E-1,-9.223662019E-1,-2.154781520E-1,9.784503937E0
5.419164660E-1,-9.319429994E-1,-2.489969730E-1,9.794080734E0
5.439197470E-1,-9.127894044E-1,-2.442085743E-1,9.822811127E0
5.459233930E-1,-8.984242082E-1,-2.777273953E-1,9.841964722E0
5.479274550E-1,-9.127894044E-1,-3.016694188E-1,9.832387924E0
5.499319860E-1,-8.984242082E-1,-3.064578176E-1,9.798869133E0
5.519369860E-1,-8.696937561E-1,-3.256114423E-1,9.774927139E0
5.539425070E-1,-8.840589523E-1,-3.591302633E-1,9.731831551E0
5.559484970E-1,-9.032126069E-1,-3.687070608E-1,9.770138741E0
5.579549030E-1,-8.936358094E-1,-3.974374831E-1,9.750985146E0
5.599616740E-1,-8.888474107E-1,-3.878606856E-1,9.755773544E0
5.619687570E-1,-8.888474107E-1,-4.213795066E-1,9.765350342E0
5.639770390E-1,-8.984242082E-1,-4.213795066E-1,9.760561943E0
5.659806840E-1,-9.127894044E-1,-4.453215301E-1,9.741408348E0
5.679846950E-1,-9.080010056E-1,-4.596867263E-1,9.717466354E0
5.699891220E-1,-9.223662019E-1,-4.836287498E-1,9.717466354E0
5.719939660E-1,-9.223662019E-1,-4.596867263E-1,9.717466354E0
5.739992260E-1,-9.415197968E-1,-4.740519226E-1,9.741408348E0
5.760049030E-1,-9.415197968E-1,-4.788403511E-1,9.755773544E0
5.780109970E-1,-9.415197968E-1,-4.548983276E-1,9.760561943E0
5.800174550E-1,-9.558850527E-1,-4.788403511E-1,9.717466354E0
5.820242260E-1,-9.463081956E-1,-4.644751251E-1,9.712677956E0
5.840309970E-1,-9.846154451E-1,-4.453215301E-1,9.741408348E0
5.860379760E-1,-9.846154451E-1,-4.405331016E-1,9.727043152E0
5.880451110E-1,-9.894038439E-1,-4.309563041E-1,9.674370766E0
5.900522990E-1,-9.989806414E-1,-4.261679053E-1,9.674370766E0
5.920649030E-1,-1.013345838E0,-3.926490843E-1,9.707889557E0
5.940658930E-1,-1.008557439E0,-3.782838583E-1,9.707889557E0
5.960670390E-1,-1.008557439E0,-3.591302633E-1,9.703101158E0
5.980684970E-1,-1.037287831E0,-3.782838583E-1,9.688735962E0
6.000704240E-1,-1.032499433E0,-3.351882398E-1,9.683947563E0
6.020729760E-1,-1.037287831E0,-3.447650373E-1,9.679159164E0
6.040762050E-1,-1.037287831E0,-3.256114423E-1,9.674370766E0
6.060802160E-1,-1.046864748E0,-3.016694188E-1,9.693524361E0
6.080850070E-1,-1.051653147E0,-3.208230138E-1,9.707889557E0
6.100905800E-1,-1.051653147E0,-2.968810201E-1,9.717466354E0
6.120969340E-1,-1.061229944E0,-2.968810201E-1,9.717466354E0
6.141039660E-1,-1.051653147E0,-2.968810201E-1,9.707889557E0
6.161116220E-1,-1.042076349E0,-2.825157940E-1,9.717466354E0
6.181197990E-1,-1.022922635E0,-2.681505978E-1,9.731831551E0
6.201283410E-1,-1.056441545E0,-2.968810201E-1,9.707889557E0
6.221368820E-1,-1.032499433E0,-2.537853718E-1,9.712677956E0
6.241455280E-1,-1.018134236E0,-2.777273953E-1,9.707889557E0
6.261514660E-1,-1.008557439E0,-2.777273953E-1,9.717466354E0
6.281575070E-1,-1.008557439E0,-2.920926213E-1,9.727043152E0
6.301636010E-1,-9.941922426E-1,-2.825157940E-1,9.703101158E0
6.321697470E-1,-9.941922426E-1,-2.920926213E-1,9.683947563E0
6.341813090E-1,-9.846154451E-1,-2.920926213E-1,9.698312759E0
6.361822990E-1,-9.846154451E-1,-3.303998411E-1,9.717466354E0
6.381834450E-1,-9.606734514E-1,-3.112462163E-1,9.727043152E0
6.401849030E-1,-9.606734514E-1,-3.208230138E-1,9.741408348E0
6.421868300E-1,-9.367313981E-1,-3.495534360E-1,9.755773544E0
6.441893820E-1,-9.654618502E-1,-3.591302633E-1,9.760561943E0
6.461926110E-1,-9.367313981E-1,-3.639186621E-1,9.746196747E0
6.481966220E-1,-9.463081956E-1,-3.639186621E-1,9.755773544E0
6.502014140E-1,-9.367313981E-1,-3.591302633E-1,9.750985146E0
6.522069860E-1,-9.223662019E-1,-3.734954596E-1,9.741408348E0
6.542133410E-1,-9.223662019E-1,-3.639186621E-1,9.765350342E0
6.562203720E-1,-9.175778031E-1,-3.734954596E-1,9.774927139E0
6.582280280E-1,-9.223662019E-1,-3.878606856E-1,9.746196747E0
6.602362050E-1,-9.032126069E-1,-3.591302633E-1,9.746196747E0
6.622447470E-1,-9.032126069E-1,-3.543418646E-1,9.750985146E0
6.642535490E-1,-9.319429994E-1,-3.639186621E-1,9.755773544E0
6.662624550E-1,-8.936358094E-1,-3.447650373E-1,9.731831551E0
6.682709970E-1,-9.127894044E-1,-3.495534360E-1,9.750985146E0
6.702765700E-1,-9.367313981E-1,-3.543418646E-1,9.731831551E0
6.722820910E-1,-9.223662019E-1,-3.399766386E-1,9.731831551E0
6.742849030E-1,-9.319429994E-1,-3.303998411E-1,9.755773544E0
6.762879240E-1,-9.223662019E-1,-3.447650373E-1,9.774927139E0
6.782912570E-1,-9.415197968E-1,-3.303998411E-1,9.765350342E0
6.802949550E-1,-9.702502489E-1,-3.064578176E-1,9.736619949E0
6.822990700E-1,-9.558850527E-1,-3.208230138E-1,9.727043152E0
6.843036530E-1,-9.654618502E-1,-3.016694188E-1,9.731831551E0
6.863087050E-1,-9.941922426E-1,-3.064578176E-1,9.717466354E0
6.883142260E-1,-9.558850527E-1,-2.825157940E-1,9.698312759E0
6.903202160E-1,-9.989806414E-1,-2.968810201E-1,9.727043152E0
6.923266220E-1,-9.941922426E-1,-2.777273953E-1,9.727043152E0
6.943333930E-1,-9.846154451E-1,-2.920926213E-1,9.712677956E0
6.963439660E-1,-9.750386477E-1,-2.777273953E-1,9.722254753E0
6.983545390E-1,-9.894038439E-1,-3.064578176E-1,9.698312759E0
7.003597470E-1,-9.989806414E-1,-3.064578176E-1,9.655217171E0
7.023703720E-1,-9.798270464E-1,-3.064578176E-1,9.674370766E0
7.043708410E-1,-1.013345838E0,-3.351882398E-1,9.664793968E0
7.063714660E-1,-1.027711034E0,-3.399766386E-1,9.674370766E0
7.083724550E-1,-1.008557439E0,-3.543418646E-1,9.650428772E0
7.103739660E-1,-1.037287831E0,-3.639186621E-1,9.688735962E0
7.123761530E-1,-1.046864748E0,-3.782838583E-1,9.645640373E0
7.143791220E-1,-1.070806742E0,-4.070142806E-1,9.607333183E0
7.163829240E-1,-1.089960337E0,-4.022258818E-1,9.588179588E0
7.183876110E-1,-1.080383539E0,-4.357447028E-1,9.583391190E0
7.203931840E-1,-1.094748735E0,-4.357447028E-1,9.674370766E0
7.223995910E-1,-1.094748735E0,-4.644751251E-1,9.693524361E0
7.244067780E-1,-1.085171938E0,-4.788403511E-1,9.674370766E0
7.264146430E-1,-1.094748735E0,-4.644751251E-1,9.607333183E0
7.284230800E-1,-1.094748735E0,-4.788403511E-1,9.621698380E0
7.304319340E-1,-1.118690729E0,-4.548983276E-1,9.741408348E0
7.324410490E-1,-1.056441545E0,-4.644751251E-1,9.865906715E0
7.344519340E-1,-9.750386477E-1,-4.453215301E-1,9.889848709E0
7.364628200E-1,-8.840589523E-1,-4.165911078E-1,9.913790703E0
7.384650590E-1,-8.792705536E-1,-4.213795066E-1,9.841964722E0
7.404674030E-1,-8.409633636E-1,-3.687070608E-1,9.770138741E0
7.424699550E-1,-7.595604658E-1,-3.351882398E-1,9.736619949E0
7.444738090E-1,-7.787141204E-1,-3.016694188E-1,9.750985146E0
7.464777160E-1,-7.547720671E-1,-2.729389966E-1,9.779715538E0
7.484820390E-1,-7.164648771E-1,-2.442085743E-1,9.813234329E0
7.504868300E-1,-6.829460263E-1,-2.250549644E-1,9.861118317E0
7.524920910E-1,-7.116764784E-1,-2.298433632E-1,9.904213905E0
7.544978200E-1,-7.116764784E-1,-1.867477298E-1,9.894637108E0
7.565039660E-1,-6.877344251E-1,-1.723825186E-1,9.875483513E0
7.585105280E-1,-7.068880796E-1,-1.771709323E-1,9.909002304E0
7.605174030E-1,-7.164648771E-1,-1.675941199E-1,9.913790703E0
7.625245390E-1,-7.068880796E-1,-1.388636976E-1,9.937732697E0
7.645318820E-1,-7.020996213E-1,-1.628057212E-1,9.980828285E0
7.665393300E-1,-6.637924314E-1,-1.580173075E-1,9.995193481E0
